,from,to,from_lat,from_lon,to_lat,to_lon,from_id,to_id
443,Duren Tiga,GOR Sumantri,-6.2523247,106.8269354,-6.2205188,106.8318854,23,18
443,Duren Tiga,GOR Sumantri,-6.2523247,106.8269354,-6.2205188,106.8318854,23,18
443,Duren Tiga,GOR Sumantri,-6.2523247,106.8269354,-6.2205188,106.8318854,23,18
443,Duren Tiga,GOR Sumantri,-6.2523247,106.8269354,-6.2205188,106.8318854,23,18
444,Mampang Prapatan,GOR Sumantri,-6.2416674,106.8256967,-6.2205188,106.8318854,55,18
444,Mampang Prapatan,GOR Sumantri,-6.2416674,106.8256967,-6.2205188,106.8318854,55,18
444,Mampang Prapatan,GOR Sumantri,-6.2416674,106.8256967,-6.2205188,106.8318854,55,18
444,Mampang Prapatan,GOR Sumantri,-6.2416674,106.8256967,-6.2205188,106.8318854,55,18
444,Mampang Prapatan,GOR Sumantri,-6.2416674,106.8256967,-6.2205188,106.8318854,55,18
444,Mampang Prapatan,GOR Sumantri,-6.2416674,106.8256967,-6.2205188,106.8318854,55,18
444,Mampang Prapatan,GOR Sumantri,-6.2416674,106.8256967,-6.2205188,106.8318854,55,18
444,Mampang Prapatan,GOR Sumantri,-6.2416674,106.8256967,-6.2205188,106.8318854,55,18
445,Mampang Prapatan,Ragunan,-6.2416674,106.8256967,-6.3055197,106.8203048,55,69
445,Mampang Prapatan,Ragunan,-6.2416674,106.8256967,-6.3055197,106.8203048,55,69
445,Mampang Prapatan,Ragunan,-6.2416674,106.8256967,-6.3055197,106.8203048,55,69
445,Mampang Prapatan,Ragunan,-6.2416674,106.8256967,-6.3055197,106.8203048,55,69
445,Mampang Prapatan,Ragunan,-6.2416674,106.8256967,-6.3055197,106.8203048,55,69
446,Dept.Pertanian,GOR Sumantri,-6.2946845,106.8221104,-6.2205188,106.8318854,20,18
446,Dept.Pertanian,GOR Sumantri,-6.2946845,106.8221104,-6.2205188,106.8318854,20,18
446,Dept.Pertanian,GOR Sumantri,-6.2946845,106.8221104,-6.2205188,106.8318854,20,18
446,Dept.Pertanian,GOR Sumantri,-6.2946845,106.8221104,-6.2205188,106.8318854,20,18
446,Dept.Pertanian,GOR Sumantri,-6.2946845,106.8221104,-6.2205188,106.8318854,20,18
446,Dept.Pertanian,GOR Sumantri,-6.2946845,106.8221104,-6.2205188,106.8318854,20,18
446,Dept.Pertanian,GOR Sumantri,-6.2946845,106.8221104,-6.2205188,106.8318854,20,18
448,SMK 57,GOR Sumantri,-6.2910377,106.8236168,-6.2205188,106.8318854,91,18
448,SMK 57,GOR Sumantri,-6.2910377,106.8236168,-6.2205188,106.8318854,91,18
448,SMK 57,GOR Sumantri,-6.2910377,106.8236168,-6.2205188,106.8318854,91,18
448,SMK 57,GOR Sumantri,-6.2910377,106.8236168,-6.2205188,106.8318854,91,18
448,SMK 57,GOR Sumantri,-6.2910377,106.8236168,-6.2205188,106.8318854,91,18
448,SMK 57,GOR Sumantri,-6.2910377,106.8236168,-6.2205188,106.8318854,91,18
448,SMK 57,GOR Sumantri,-6.2910377,106.8236168,-6.2205188,106.8318854,91,18
